what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889644393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889647591
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1555889653377
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1555889653428
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1555889653534
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1555889653634
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1555889653645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889673119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889687128
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1555889689043
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1555889689046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889698756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889706691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889706717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889714233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889715162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889716544
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1555889716645
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1555889716680
error,log,,,"Unhandled event loop exception during blocked modal context.",1555889716928
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1555889717373
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1555889717373
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1555889717373
